h_stony_subcatchment_20160304b.csv,,,,,,,,,,,,
"Created by Eric Barefoot, modified by George Allen",,,,,,,,,,,,
July 2016,,,,,,,,,,,,
,,,,,,,,,,,,
"This table is field data collected in a subcatchment of the Stony Creek Watershed in Duke Forest Edeburn Division SW of Hillsborough, North Carolina",,,,,,,,,,,,
This data set was created by Eric Barefoot and Elizabeth Henry by flagging streams every 5 meters and then measuring wetted width of flowing streams with a tape measure,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
columns:,,,,,,,,,,,,
stream_segment_ID,Internal and external stream segments usually seperated by nodes. Order is arbitrary,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,
,B,bushes,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done a few times in Konza where poison ivy was too dense to measure),,,,,,,,,,
,G,tall grass,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,
notes,misc notes,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,
date,date,,,,,,,,,,,
stream_order,strahler stream order (no 0 order streams),,,,,,,,,,,
UTM_X,UTM zone 17N easting (locations are approximate),,,,,,,,,,,
UTM_Y,UTM zone 17N northing (locations are approximate),,,,,,,,,,,
S01A,Upstream,40,,,,Forest,,03/04/2016,3,673630.0843,3989959.882,186.5258
S01B,Upstream,67,,,,Forest,,03/04/2016,3,673626.0914,3989956.695,186.2921
S01B,Upstream,139,90,,,Forest,,03/04/2016,3,673622.4082,3989951.518,186.1911
S01B,Upstream,83,,,,Forest,,03/04/2016,3,673620.5908,3989947.708,182.0698
S01B,Upstream,64,,,,Forest,,03/04/2016,3,673616.2374,3989949.065,186.7562
S01B,Upstream,78,,,,Forest,,03/04/2016,3,673613.3323,3989950.117,186.9357
S01B,Upstream,95,,,,Forest,,03/04/2016,3,673608.1725,3989951.236,187.0094
S01B,Upstream,85,,,,Forest,,03/04/2016,3,673601.6743,3989947.112,181.8859
S01B,Upstream,79,,,,Forest,,03/04/2016,3,673598.3911,3989944.494,187.6692
S01B,Upstream,66,,,,Forest,,03/04/2016,3,673595.3606,3989942.77,185.7163
S01B,Upstream,76,,,,Forest,,03/04/2016,3,673592.2203,3989937.492,184.698
S01B,Upstream,66,,,,Forest,,03/04/2016,3,673590.0974,3989935.452,187.5012
S01B,Upstream,33,,,,Forest,,03/04/2016,3,673587.1548,3989929.29,184.3724
S01B,Upstream,36,,,,Forest,,03/04/2016,3,673583.4255,3989926.442,186.6335
S01B,Upstream,70,,,,Forest,,03/04/2016,3,673578.7688,3989920.357,187.145
S01B,Upstream,57,,,,Forest,,03/04/2016,3,673577.3404,3989919.662,187.3846
S01B,Upstream,58,,,,Forest,,03/04/2016,3,673575.4658,3989918.738,187.5554
S01B,Upstream,81,,,,Forest,,03/04/2016,3,673579.0147,3989907.932,187.7728
S01B,Upstream,44,,,,Forest,,03/04/2016,3,673578.874,3989905.932,187.7082
S01B,Upstream,51,,,,Forest,,03/04/2016,3,673577.8388,3989899.03,187.3966
S01B,Upstream,55,,,,Forest,,03/04/2016,3,673576.1818,3989896.223,180.3416
S01B,Upstream,48,,,,Forest,,03/04/2016,3,673567.6443,3989894.944,182.7202
S01B,Upstream,41,,,,Forest,,03/04/2016,3,673562.9678,3989894.408,188.2718
S01B,Upstream,34,,,,Forest,,03/04/2016,3,,,
S01B,Upstream,64,,,,Forest,,03/04/2016,3,673557.7309,3989890.309,188.3528
S01B,Upstream,53,,,,Forest,,03/04/2016,3,673558.0758,3989881.993,187.631
S02A,Upstream,12,,,,Forest,,03/04/2016,2,673555.3245,3989884.38,188.2382
S02A,Upstream,16,,,gauge,Forest,,03/04/2016,2,673554.0632,3989888.905,189.4609
S02A,Upstream,0,,,,Forest,,03/04/2016,2,673552.7799,3989889.989,188.9353
S02A,Upstream,0,,,,Forest,,03/04/2016,2,673548.5627,3989889.018,189.3071
S02A,Upstream,0,,,,Forest,,03/04/2016,2,673544.6775,3989889.496,186.9012
S02A,Upstream,23,,,,Forest,,03/04/2016,2,673539.2232,3989891.83,186.9975
S02A,Upstream,0,,,,Forest,,03/04/2016,2,673535.9048,3989890.987,186.8185
S02A,Upstream,0,,,,Forest,,03/04/2016,2,673531.3163,3989890.563,190.1434
S02A,Upstream,0,,,,Forest,,03/04/2016,2,673527.6903,3989891.601,190.5239
